class_number,cluster_rep_sequence_accession,family_label_ncbi_2021,families_in_class_2021,family_label_ncbi_2023,sequences_per_class,sequences_percent,max_length,mean_length,std_length,kmers_per_class,kmers_percent,protein_description,protein_function_class,host,molecule_type,genus
246,QPZ88447.1,Tospoviridae,Tospoviridae,Tospoviridae,343,0.033373972388146114,492.0,445.92,64.2,2811,0.015,NSs non-structural protein,Non-structural,Capsicum,ssRNA(+/-),Orthotospovirus
247,ACK77584.1,Rhabdoviridae,Rhabdoviridae,Rhabdoviridae,341,0.033179371966057795,750.0,389.53,171.24,2474,0.013,glycoprotein,Structural-Envelope,Cyprinus carpio,ssRNA(-),Vesiculovirus
248,NP_044188.1,Adenoviridae,Adenoviridae,Adenoviridae,339,0.03298477154396948,502.0,411.57,87.48,2302,0.012,IVa2-maturation,Hypothetical,Homo sapiens,dsDNA,Mastadenovirus
249,QOE76799.1,Orthomyxoviridae,Orthomyxoviridae,Orthomyxoviridae,338,0.03288747133292532,693.0,598.11,149.91,5508,0.029,hemagglutinin-esterase,Hemagglutinin,Homo sapiens,ssRNA(-),Gammainfluenzavirus
250,AAN04389.1,Poxviridae,Poxviridae-Phycodnaviridae-Baculoviridae-Mimiviridae-Asfarviridae-Nimaviridae-Alloherpesviridae-Nudiviridae-Hytrosaviridae-Caulimoviridae,Poxviridae,336,0.032692870910837,939.0,746.86,143.04,7774,0.041,ribonucleotide reductase large subunit,Other-Functions,Homo sapiens,dsDNA,Orthopoxvirus
251,BAV53465.1,Solemoviridae,Solemoviridae-Luteoviridae-Geminiviridae,Solemoviridae,335,0.032595570699792846,738.0,362.18,240.06,2339,0.012,coat protein,Structural-Envelope,Solanum tuberosum,ssRNA(+),Polerovirus
252,AMB66415.1,Herpesviridae,Herpesviridae,Orthoherpesviridae,333,0.032400970277704534,1443.0,1254.98,351.39,16513,0.086,major capsid protein,Structural-Envelope,Homo sapiens,dsDNA,Simplexvirus
253,CAA01837.1,Arteriviridae,Arteriviridae,Arteriviridae,331,0.032206369855616215,3859.0,1700.25,763.67,23526,0.123,polyprotein pp1a,Polyprotein,Sus scrofa,ssRNA(+),Betaarterivirus
254,QBK85816.1,Iridoviridae,Iridoviridae-Marseilleviridae,Iridoviridae,327,0.031817169011439585,527.0,344.49,136.82,1616,0.008,major capsid protein,Structural-Envelope,Lates calcarifer,dsDNA,Ranavirus
255,AID16660.1,Coronaviridae,Coronaviridae,Coronaviridae,325,0.03162256858935127,441.0,386.64,99.65,1982,0.01,hemagglutinin-esterase,Hemagglutinin,Homo sapiens,ssRNA(+),Betacoronavirus
256,ARX74206.1,Paramyxoviridae,Paramyxoviridae,Paramyxoviridae,319,0.031038767323086323,565.0,500.76,121.28,3589,0.019,fusion protein,Structural-Envelope,Homo sapiens,ssRNA(-),Respirovirus
257,AAA46204.1,Retroviridae,Retroviridae,Retroviridae,317,0.030844166900998008,544.0,309.96,76.74,717,0.004,tax protein,Glycoprotein,Homo sapiens,ssRNA-RT,Deltaretrovirus
258,QED45302.1,Potyviridae,Potyviridae,Potyviridae,315,0.030649566478909693,3415.0,1244.39,1406.21,15629,0.082,polyprotein,Polyprotein,Allium sativum,ssRNA(+),Potyvirus
259,ATZ69454.1,Caulimoviridae,Caulimoviridae,Caulimoviridae,575,0.05594762135039071,2031.0,488.91,638.35,8261,0.043,polyprotein- putative movement protein,Transport,Theobroma cacao,dsDNA-RT,Badnavirus
260,BBG62110.2,Polyomaviridae,Polyomaviridae,Polyomaviridae,311,0.030260365634733062,495.0,320.96,117.94,1120,0.006,VP1-capsid,Structural-Envelope,Homo sapiens,dsDNA,Alphapolyomavirus
261,YP_009351850.1,Reoviridae,Reoviridae,Spinareoviridae,310,0.030163065423688906,1275.0,1069.43,414.47,12468,0.065,RNA-dependent RNA polymerase,Replication-Transcription,Gallus gallus,dsRNA,Orthoreovirus
262,BAB33175.1,Retroviridae,Retroviridae,Retroviridae,309,0.030065765212644747,1000.0,838.94,252.76,8614,0.045,envelope protein,Structural-Envelope,Puma concolor,ssRNA-RT,Spumavirus
263,YP_006272973.1,Adenoviridae,Adenoviridae,Adenoviridae,306,0.029773864579512276,443.0,279.45,107.63,653,0.003,fiber protein,Structural-Envelope,Homo sapiens,dsDNA,Mastadenovirus
264,QBH76564.1,Herpesviridae,Herpesviridae,Orthoherpesviridae,305,0.029676564368468113,1240.0,1006.56,177.66,10913,0.057,helicase-primase -UL52,Replication-Transcription,Homo sapiens,dsDNA,Simplexvirus
265,ASA48525.1,Anelloviridae,Anelloviridae,Anelloviridae,305,0.029676564368468113,524.0,463.81,45.96,2659,0.014,ORF1,Other-Functions,Leptonychotes weddellii,ssDNA(-),Lambdatorquevirus
266,QYA72637.1,Potyviridae,Potyviridae-Mimiviridae,Potyviridae,301,0.029287363524291482,2916.0,1049.44,1098.46,11681,0.061,polyprotein,Polyprotein,Manihot esculenta,ssRNA(+),Ipomovirus
267,P03364.3,Retroviridae,Retroviridae,Retroviridae,299,0.029092763102203167,1880.0,537.98,368.23,4214,0.022,pol protein,Polyprotein,Capra hircus,ssRNA-RT,Betaretrovirus
268,AYV99177.1,Flaviviridae,Flaviviridae,Flaviviridae,296,0.028800862469070695,3663.0,1293.05,1473.8,15374,0.08,polyprotein,Polyprotein,Sus scrofa,ssRNA(+),Pestivirus
269,QQG34656.1,Tymoviridae,Tymoviridae-Picornaviridae,Tymoviridae,294,0.02860626204698238,2168.0,551.1,732.79,5097,0.027,polyprotein,Polyprotein,Vitis vinifera,ssRNA(+),Marafivirus
270,AMB66209.1,Herpesviridae,Herpesviridae,Orthoherpesviridae,294,0.02860626204698238,1312.0,1128.34,243.71,12451,0.065,single-stranded DNA-binding protein,Binding-Protein,Homo sapiens,dsDNA,Simplexvirus
271,AQW44800.1,Secoviridae,Secoviridae,Secoviridae,292,0.028411661624894065,2376.0,1510.31,935.06,18260,0.095,polyprotein,Polyprotein,Vitis vinifera,ssRNA(+),Nepovirus
272,QNJ57194.1,Anelloviridae,Anelloviridae,Anelloviridae,292,0.028411661624894065,649.0,432.0,188.25,2503,0.013,ORF1,Other-Functions,Sus scrofa,ssDNA(-),Iotatorquevirus
273,YP_009664807.1,Closteroviridae,Closteroviridae,Closteroviridae,292,0.028411661624894065,611.0,386.24,224.08,2334,0.012,heat shock protein 70,Other-Functions,Vitis vinifera,ssRNA(+),Closterovirus
274,QYA72453.1,Secoviridae,Secoviridae,Secoviridae,291,0.02831436141384991,1940.0,1245.75,774.24,14387,0.075,polyprotein,Polyprotein,Prunus avium,ssRNA(+),Fabavirus
275,YP_009505443.1,Paramyxoviridae,Paramyxoviridae,Paramyxoviridae,291,0.02831436141384991,391.0,282.57,98.52,632,0.003,phosphoprotein,Other-Functions,Homo sapiens,ssRNA(-),Orthorubulavirus
276,NP_944422.2,Herpesviridae,Herpesviridae,Orthoherpesviridae,289,0.028119760991761594,795.0,521.79,250.52,3909,0.02,DNA packaging terminase subunit 1,Other-Functions,Homo sapiens,dsDNA,Simplexvirus
277,BBG62074.2,Polyomaviridae,Polyomaviridae,Polyomaviridae,288,0.02802246078071743,801.0,351.17,232.78,1865,0.01,large T antigen,Other-Functions,Homo sapiens,dsDNA,Deltapolyomavirus
278,YP_392514.1,Reoviridae,Reoviridae,Sedoreoviridae,288,0.02802246078071743,744.0,578.58,227.94,4413,0.023,VP4,Structural-Envelope,Sus scrofa,dsRNA,Rotavirus
279,YP_009507774.1,Reoviridae,Reoviridae,Spinareoviridae,286,0.027827860358629115,588.0,538.96,77.09,3537,0.018,major capsid protein,Structural-Envelope,Oryza sativa,dsRNA,Fijivirus
280,AGE49692.1,Phycodnaviridae,Phycodnaviridae,Phycodnaviridae,283,0.027535959725496644,939.0,306.31,237.91,1231,0.006,DNA polymerase,Replication-Transcription,Chlorella variabilis,dsDNA,Chlorovirus
281,AMB66386.1,Herpesviridae,Herpesviridae,Orthoherpesviridae,283,0.027535959725496644,779.0,577.87,179.19,4193,0.022,envelope glycoprotein G,Structural-Envelope,Homo sapiens,dsDNA,Simplexvirus
282,AYA83039.1,Filoviridae,Filoviridae,Filoviridae,282,0.027438659514452485,373.0,313.05,78.71,641,0.003,VP35,Structural-Envelope,Homo sapiens,ssRNA(-),Orthoebolavirus
283,ABX25833.1,Retroviridae,Retroviridae,Retroviridae,280,0.027244059092364173,870.0,509.6,259.97,3339,0.017,env protein,Structural-Envelope,Puma concolor,ssRNA-RT,Lentivirus
284,QOL70884.1,Orthomyxoviridae,Orthomyxoviridae,Orthomyxoviridae,280,0.027244059092364173,455.0,385.75,86.97,1547,0.008,fusion protein,Structural-Envelope,Salmo salar,ssRNA(-),Isavirus
285,BCK34805.1,Herpesviridae,Herpesviridae,Orthoherpesviridae,275,0.026757558037143383,1206.0,927.85,122.4,8737,0.046,EBNA-3B- nuclear antigen,Other-Functions,Homo sapiens,dsDNA,Lymphocryptovirus
286,QAD37909.1,Herpesviridae,Herpesviridae,Orthoherpesviridae,274,0.026660257826099227,978.0,854.67,220.34,7886,0.041,EBNA-3A-nuclear antigen,Other-Functions,Homo sapiens,dsDNA,Lymphocryptovirus
287,YP_009448179.1,Astroviridae,Astroviridae,Astroviridae,271,0.026368357192966756,1389.0,466.95,434.57,3488,0.018,ORF1ab,Non-structural,Sus scrofa,ssRNA(+),Mamastrovirus
288,QGY64372.1,Adenoviridae,Adenoviridae,Adenoviridae,265,0.025784555926701803,626.0,452.65,106.91,2318,0.012,E1B 55K-large T antigen,Regulation-Control,Homo sapiens,dsDNA,Mastadenovirus
289,YP_002268402.1,Picornaviridae,Picornaviridae,Picornaviridae,264,0.025687255715657647,2181.0,1830.06,757.25,20691,0.108,polyprotein,Polyprotein,Sus scrofa,ssRNA(+),Senecavirus
290,YP_009552848.1,Tombusviridae,Tombusviridae-Luteoviridae-Solemoviridae,Tombusviridae,264,0.025687255715657647,953.0,663.32,273.86,5097,0.027,RNA-dependent RNA polymerase,Replication-Transcription,Triticum aestivum,ssRNA(+),Luteovirus
291,SBS69695.1,Herpesviridae,Herpesviridae,Orthoherpesviridae,264,0.025687255715657647,792.0,485.92,281.73,3107,0.016,ubiquitin E3 ligase ICP0,Other-Functions,Homo sapiens,dsDNA,Simplexvirus
292,CBG22680.1,Adenoviridae,Adenoviridae,Adenoviridae,264,0.025687255715657647,617.0,446.16,178.08,2562,0.013,penton base,Other-Functions,Homo sapiens,dsDNA,Mastadenovirus
293,YP_010086221.1,Phenuiviridae,Phenuiviridae-Peribunyaviridae,Phenuiviridae,422,0.04106068906063457,1464.0,958.59,476.54,14610,0.076,glycoprotein,Structural-Envelope,Homo sapiens,ssRNA(+/-),Phlebovirus
294,ARA91676.1,Anelloviridae,Anelloviridae,Anelloviridae,257,0.025006154238348545,643.0,446.3,182.54,2357,0.012,ORF1,Other-Functions,Sus scrofa,ssDNA(-),Iotatorquevirus
295,AIE40966.1,Poxviridae,Poxviridae,Poxviridae,256,0.024908854027304386,496.0,323.71,78.45,695,0.004,CPXV217 protein-IL-1 convertase,Other-Functions,Homo sapiens,dsDNA,Orthopoxvirus
296,YP_009352936.1,Herpesviridae,Herpesviridae,Orthoherpesviridae,252,0.02451965318312775,859.0,737.96,143.92,5729,0.03,DNA packaging terminase subunit 2,Replication-Transcription,Homo sapiens,dsDNA,Simplexvirus
297,AZR67740.1,Adenoviridae,Adenoviridae,Adenoviridae,252,0.02451965318312775,406.0,344.72,29.88,723,0.004,pV-core protein,Structural-Envelope,Homo sapiens,dsDNA,Mastadenovirus
298,AMB66203.1,Herpesviridae,Herpesviridae-Rhabdoviridae,Orthoherpesviridae,249,0.024227752549995284,961.0,464.6,160.38,2442,0.013,DNA packaging tegument protein UL25,Other-Functions,Homo sapiens,dsDNA,Simplexvirus
299,AMJ52831.2,Herpesviridae,Herpesviridae,Orthoherpesviridae,249,0.024227752549995284,642.0,638.45,3.3,4234,0.022,protein UL150,Non-structural,Homo sapiens,dsDNA,Cytomegalovirus
300,AMB61086.1,Adenoviridae,Adenoviridae,Adenoviridae,249,0.024227752549995284,618.0,558.26,84.96,3448,0.018,pIIIa-capsid protein,Structural-Envelope,Homo sapiens,dsDNA,Mastadenovirus
301,AYA49804.1,Herpesviridae,Herpesviridae,Orthoherpesviridae,248,0.02413045233895112,1261.0,1229.05,98.25,11689,0.061,BOLF1-tegument,Structural-Envelope,Homo sapiens,dsDNA,Lymphocryptovirus
302,QTE03943.1,Parvoviridae,Parvoviridae,Parvoviridae,248,0.02413045233895112,676.0,538.35,166.08,3365,0.018,Rep 78 protein,Replication-Transcription,Homo sapiens,ssDNA(+/-),Dependoparvovirus
303,AID55207.1,Astroviridae,Astroviridae,Astroviridae,245,0.02383855170581865,745.0,478.68,245.78,2686,0.014,capsid protein,Structural-Envelope,Gallus gallus,ssRNA(+),Avastrovirus
304,AZK35897.1,Anelloviridae,Anelloviridae,Anelloviridae,244,0.023741251494774494,824.0,379.41,264.8,1872,0.01,ORF1,Hypothetical,Homo sapiens,ssDNA(-),Alphatorquevirus
305,AWW13352.1,Herpesviridae,Herpesviridae,Orthoherpesviridae,242,0.02354665107268618,1318.0,1048.0,397.07,8006,0.042,transcriptional regulator ICP4,Other-Functions,Homo sapiens,dsDNA,Simplexvirus
306,ACU01783.1,Arteriviridae,Arteriviridae,Arteriviridae,239,0.023254750439553704,2433.0,1034.64,949.0,9110,0.048,polyprotein 1a,Replication-Transcription,Sus scrofa,ssRNA(+),Betaarterivirus
307,7LBE_C,Herpesviridae,Herpesviridae,Orthoherpesviridae,238,0.023157450228509544,472.0,279.04,152.61,832,0.004,glycoprotein O,Structural-Envelope,Homo sapiens,dsDNA,Cytomegalovirus
308,AMB66406.1,Herpesviridae,Herpesviridae,Orthoherpesviridae,237,0.023060150017465388,914.0,820.08,134.14,6306,0.033,DNA replication origin-binding helicase,Replication-Transcription,Homo sapiens,dsDNA,Simplexvirus
309,ADJ00320.1,Reoviridae,Reoviridae,Spinareoviridae,236,0.02296284980642123,709.0,661.9,111.38,4482,0.023,muB - outer shell,Structural-Envelope,Gallus gallus,dsRNA,Orthoreovirus
310,YP_009214659.1,Arteriviridae,Arteriviridae,Arteriviridae,234,0.022768249384332914,4054.0,1581.93,1155.93,15512,0.081,polyprotein,Polyprotein,Equus caballus,ssRNA(+),Alphaarterivirus
311,BCK34806.1,Herpesviridae,Herpesviridae,Orthoherpesviridae,234,0.022768249384332914,1089.0,874.94,260.9,6155,0.032,nuclear antigen EBNA-3C,Other-Functions,Homo sapiens,dsDNA,Lymphocryptovirus
312,AAA43011.1,Retroviridae,Retroviridae,Retroviridae,234,0.022768249384332914,512.0,339.81,144.32,1109,0.006,gag protein,Structural-Envelope,Equus caballus,ssRNA-RT,Lentivirus
313,QBA84868.1,Parvoviridae,Parvoviridae,Parvoviridae,232,0.0225736489622446,1190.0,871.05,310.65,6851,0.036,capsid protein,Structural-Envelope,Sus scrofa,ssDNA(+/-),Copiparvovirus
314,AMB66268.1,Herpesviridae,Herpesviridae,Orthoherpesviridae,232,0.0225736489622446,756.0,672.78,112.44,4608,0.024,DNA packaging tegument protein UL17,Structural-Envelope,Homo sapiens,dsDNA,Simplexvirus
315,QAD27837.1,Herpesviridae,Herpesviridae,Orthoherpesviridae,232,0.0225736489622446,561.0,473.52,57.98,2181,0.011,EBNA-2,Other-Functions,Homo sapiens,dsDNA,Lymphocryptovirus
316,AAA46240.1,Rhabdoviridae,Rhabdoviridae,Rhabdoviridae,231,0.02247634875120044,413.0,316.08,117.14,853,0.004,nucleoprotein,Structural-Envelope,Oncorhynchus mykiss,ssRNA(-),Novirhabdovirus
317,NP_612691.1,Herpesviridae,Herpesviridae,Orthoherpesviridae,230,0.022379048540156283,2275.0,2224.49,141.0,22342,0.117,large tegument protein,Structural-Envelope,Homo sapiens,dsDNA,Cytomegalovirus
318,QYC92650.1,Baculoviridae,Baculoviridae,Baculoviridae,230,0.022379048540156283,1172.0,945.16,242.78,7825,0.041,DNA polymerase,Replication-Transcription,Lymantria dispar,dsDNA,Alphabaculovirus
319,YP_009666846.1,Paramyxoviridae,Paramyxoviridae,Paramyxoviridae,230,0.022379048540156283,854.0,506.91,131.85,2583,0.013,hemagglutinin-neuraminidase,Other-Functions,Homo sapiens,ssRNA(-),Respirovirus
320,YP_006200960.1,Rhabdoviridae,Rhabdoviridae,Rhabdoviridae,229,0.022281748329112123,662.0,519.0,138.66,2798,0.015,glycoprotein G,Structural-Envelope,Bos taurus,ssRNA(-),Ephemerovirus
321,ACN81881.1,Poxviridae,Poxviridae,Poxviridae,227,0.02208714790702381,1321.0,1113.48,388.64,9533,0.05,DNA-dependent RNA polymerase subunit rpo147,Replication-Transcription,Homo sapiens,dsDNA,Orthopoxvirus
322,AMB66419.1,Herpesviridae,Herpesviridae,Orthoherpesviridae,226,0.021989847695979652,413.0,332.84,56.72,606,0.003,thymidine kinase,Other-Functions,Homo sapiens,dsDNA,Simplexvirus
323,AYA93568.1,Papillomaviridae,Papillomaviridae,Papillomaviridae,320,0.03113606753413048,412.0,390.06,33.94,1623,0.008,E2 protein,Replication-Transcription,Homo sapiens,dsDNA,Gammapapillomavirus
324,AKH48996.1,Arenaviridae,Arenaviridae,Arenaviridae,224,0.021795247273891337,2088.0,1935.8,492.1,18573,0.097,L polymerase,Replication-Transcription,Boa constrictor,ssRNA(+/-),Reptarenavirus
325,AMB65784.1,Herpesviridae,Herpesviridae,Orthoherpesviridae,224,0.021795247273891337,1299.0,1093.59,171.44,9030,0.047,UL39,Other-Functions,Homo sapiens,dsDNA,Simplexvirus
326,ASA40120.1,Caulimoviridae,Caulimoviridae-Phycodnaviridae,Caulimoviridae,223,0.02169794706284718,2005.0,435.17,609.28,2678,0.014,polyprotein,Other-Functions,Dioscorea cayenensis subsp. rotundata,dsDNA-RT,Badnavirus
327,DAC85029.1,Betaflexiviridae,Betaflexiviridae,Betaflexiviridae,222,0.02160064685180302,1868.0,1636.58,566.24,15080,0.079,RdRp,Replication-Transcription,Vitis vinifera,ssRNA(+),Trichovirus
328,AKI08798.1,Herpesviridae,Herpesviridae,Orthoherpesviridae,219,0.021308746218670547,710.0,535.41,215.49,2942,0.015,capsid maturation protease,Structural-Envelope,Homo sapiens,dsDNA,Cytomegalovirus
329,YP_009026384.1,Picornaviridae,Picornaviridae,Picornaviridae,218,0.02121144600762639,2550.0,703.73,812.9,5230,0.027,polyprotein,Polyprotein,Homo sapiens,ssRNA(+),Cosavirus
330,YP_009021566.1,Parvoviridae,Parvoviridae,Parvoviridae,216,0.021016845585538076,662.0,488.7,186.19,2464,0.013,replicase,Non-structural,Sus scrofa,ssDNA(+/-),Copiparvovirus
331,YP_009268819.1,Poxviridae,Poxviridae,Poxviridae,215,0.02091954537449392,919.0,857.12,149.39,6136,0.032,CPXV142 protein,Other-Functions,Homo sapiens,dsDNA,Orthopoxvirus
332,ADR30470.1,Reoviridae,Reoviridae,Spinareoviridae,215,0.02091954537449392,368.0,334.25,57.89,640,0.003,sigma B protein,Other-Functions,Gallus gallus,dsRNA,Orthoreovirus
333,AGZ95200.1,Herpesviridae,Herpesviridae,Orthoherpesviridae,213,0.0207249449524056,711.0,446.24,238.5,2134,0.011,BGRF1/BDRF1,Other-Functions,Homo sapiens,dsDNA,Lymphocryptovirus
334,NP_258306.1,Baculoviridae,Baculoviridae,Baculoviridae,210,0.02043304431927313,918.0,515.02,330.07,2832,0.015,lef-8,Other-Functions,Lymantria dispar,dsDNA,Alphabaculovirus
335,YP_003084389.1,Herpesviridae,Herpesviridae,Orthoherpesviridae,210,0.02043304431927313,653.0,578.46,81.44,3033,0.016,DNA packaging protein UL32,Other-Functions,Homo sapiens,dsDNA,Simplexvirus
336,AAU06813.1,Retroviridae,Retroviridae,Retroviridae,209,0.02033574410822897,628.0,473.16,148.52,2041,0.011,envelope protein,Structural-Envelope,Gallus gallus,ssRNA-RT,Alpharetrovirus
337,SNB54148.1,Poxviridae,Poxviridae,Poxviridae,207,0.020141143686140655,1295.0,657.08,448.91,4253,0.022,cowpox A-type inclusion protein,Other-Functions,Homo sapiens,dsDNA,Orthopoxvirus
338,QCG99665.1,Herpesviridae,Herpesviridae,Orthoherpesviridae,207,0.020141143686140655,914.0,787.8,224.41,4630,0.024,glycoprotein 350,Other-Functions,Homo sapiens,dsDNA,Lymphocryptovirus
339,NP_041192.1,Bromoviridae,Bromoviridae,Bromoviridae,205,0.01994654326405234,1126.0,869.54,361.95,6114,0.032,replicase,Replication-Transcription,Malus domestica,ssRNA(+),Ilarvirus
340,AMB66133.1,Herpesviridae,Herpesviridae,Orthoherpesviridae,205,0.01994654326405234,743.0,527.61,155.45,2445,0.013,UL26,Structural-Envelope,Homo sapiens,dsDNA,Simplexvirus
341,YP_001468087.1,Potyviridae,Potyviridae,Potyviridae,203,0.019751942841964024,3109.0,875.96,1060.63,6069,0.032,polyprotein,Polyprotein,Triticum aestivum,ssRNA(+),Tritimovirus
342,QBL75902.1,Dicistroviridae,Dicistroviridae-Nyamiviridae,Dicistroviridae,203,0.019751942841964024,936.0,347.93,319.06,1560,0.008,capsid protein,Structural-Envelope,Apis mellifera,ssRNA(+),Aparavirus
343,AWW09923.1,Herpesviridae,Herpesviridae,Orthoherpesviridae,202,0.019654642630919865,859.0,658.07,107.6,3758,0.02,capsid portal protein,Other-Functions,Homo sapiens,dsDNA,Simplexvirus
344,QED44889.1,Alphaflexiviridae,Alphaflexiviridae,Alphaflexiviridae,201,0.01955734241987571,1524.0,768.74,620.13,5386,0.028,RNA-dependent RNA polymerase,Replication-Transcription,Solanum lycopersicum,ssRNA(+),Potexvirus
345,AXS01083.1,Baculoviridae,Baculoviridae,Baculoviridae,201,0.01955734241987571,746.0,630.06,108.02,3470,0.018,p74,Other-Functions,Lymantria dispar,dsDNA,Alphabaculovirus
346,QQD79885.1,Hantaviridae,Hantaviridae,Hantaviridae,199,0.019362741997787394,429.0,303.31,134.27,706,0.004,nucleocapsid protein,Structural-Envelope,Apodemus agrarius,ssRNA(-),Orthohantavirus
347,YP_003331568.1,Herpesviridae,Herpesviridae,Orthoherpesviridae,198,0.019265441786743238,606.0,475.45,106.66,1898,0.01,tegument serine/threonine protein kinase,Structural-Envelope,Homo sapiens,dsDNA,Simplexvirus
348,YP_009507950.1,Closteroviridae,Closteroviridae,Closteroviridae,196,0.01907084136465492,2505.0,960.4,850.73,6726,0.035,ORF1a,Polyprotein,Rubus,ssRNA(+),Crinivirus
349,QBJ02351.1,Reoviridae,Reoviridae,Sedoreoviridae,195,0.01897354115361076,432.0,388.73,49.66,1080,0.006,NSP3,Other-Functions,Sus scrofa,dsRNA,Rotavirus
350,YP_009552520.1,Herpesviridae,Herpesviridae,Orthoherpesviridae,194,0.018876240942566604,921.0,850.81,93.55,5425,0.028,BSLF1- helicase-primase primase subunit,Replication-Transcription,Homo sapiens,dsDNA,Lymphocryptovirus
351,AMB66418.1,Herpesviridae,Herpesviridae,Orthoherpesviridae,194,0.018876240942566604,881.0,808.43,126.46,5036,0.026,UL22,Structural-Envelope,Homo sapiens,dsDNA,Simplexvirus
352,AJD79548.1,Herpesviridae,Herpesviridae,Orthoherpesviridae,194,0.018876240942566604,580.0,489.66,155.17,2092,0.011,glycoprotein E,Other-Functions,Sus scrofa,dsDNA,Varicellovirus
353,QBH77049.1,Herpesviridae,Herpesviridae,Orthoherpesviridae,194,0.018876240942566604,564.0,494.72,58.51,2025,0.011,envelope glycoprotein C,Other-Functions,Homo sapiens,dsDNA,Simplexvirus
354,SNB57926.1,Poxviridae,Poxviridae,Poxviridae,194,0.018876240942566604,548.0,430.72,143.42,1650,0.009,cowpox A-type inclusion protein,Other-Functions,Homo sapiens,dsDNA,Orthopoxvirus
355,YP_001129436.1,Herpesviridae,Herpesviridae,Orthoherpesviridae,194,0.018876240942566604,497.0,380.02,116.32,1034,0.005,LMP-2B-latent membrane protein 2A,Structural-Envelope,Homo sapiens,dsDNA,Lymphocryptovirus
356,AKH03074.1,Reoviridae,Reoviridae,Spinareoviridae,193,0.018778940731522448,374.0,334.91,60.28,583,0.003,nonstructural protein sigma NS,Cellular-Regulation,Gallus gallus,dsRNA,Orthoreovirus
357,AVX53302.1,Picobirnaviridae,Picobirnaviridae,Picobirnaviridae,192,0.01868164052047829,553.0,284.25,162.33,696,0.004,RNA-dependent RNA polymerase,Replication-Transcription,Macaca mulatta,dsRNA,Picobirnavirus
358,QBJ27544.1,Betaflexiviridae,Betaflexiviridae,Betaflexiviridae,191,0.018584340309434132,2007.0,1856.89,424.52,14985,0.078,replicase,Replication-Transcription,Solanum tuberosum,ssRNA(+),Carlavirus
359,NP_612729.1,Herpesviridae,Herpesviridae,Orthoherpesviridae,191,0.018584340309434132,770.0,526.7,230.73,2519,0.013,tegument serine/threonine protein kinase,Structural-Envelope,Homo sapiens,dsDNA,Cytomegalovirus
360,QKG86287.1,Tombusviridae,Tombusviridae-Solemoviridae-Luteoviridae,Tombusviridae,191,0.018584340309434132,723.0,346.28,229.27,1217,0.006,coat protein,Structural-Envelope,Trifolium repens,ssRNA(+),Luteovirus
361,BCT22704.1,Poxviridae,Poxviridae,Poxviridae,190,0.018487040098389973,707.0,575.8,233.42,3514,0.018,RNA-helicase,Replication-Transcription,Homo sapiens,dsDNA,Orthopoxvirus
362,QAG21155.1,Herpesviridae,Herpesviridae,Orthoherpesviridae,190,0.018487040098389973,582.0,526.91,60.26,2224,0.012,BRRF2,Other-Functions,Homo sapiens,dsDNA,Lymphocryptovirus
363,QIZ12955.1,Betaflexiviridae,Betaflexiviridae,Betaflexiviridae,189,0.018389739887345817,1735.0,684.46,713.16,4442,0.023,replicase,Replication-Transcription,Vitis vinifera,ssRNA(+),Vitivirus
364,QED44253.1,Alphaflexiviridae,Alphaflexiviridae-Betaflexiviridae,Alphaflexiviridae,189,0.018389739887345817,1641.0,1460.3,357.59,11171,0.058,replicase,Replication-Transcription,Allium sativum,ssRNA(+),Allexivirus
365,QWT72249.1,Astroviridae,Astroviridae,Astroviridae,189,0.018389739887345817,890.0,379.58,299.49,1588,0.008,capsid,Structural-Envelope,Sus scrofa,ssRNA(+),Mamastrovirus
366,AMB66001.1,Herpesviridae,Herpesviridae,Orthoherpesviridae,188,0.018292439676301658,1268.0,1080.63,169.03,7469,0.039,UL37,Structural-Envelope,Homo sapiens,dsDNA,Simplexvirus
367,QTE03873.1,Parvoviridae,Parvoviridae,Parvoviridae,187,0.018195139465257498,599.0,431.14,120.2,1469,0.008,capsid protein,Structural-Envelope,Sus scrofa,ssDNA(+/-),Chaphamaparvovirus
368,ALM00070.1,Reoviridae,Reoviridae,Sedoreoviridae,185,0.018000539043169183,1060.0,913.92,306.59,5841,0.03,VP2,Structural-Envelope,Equus caballus,dsRNA,Orbivirus
369,YP_008378253.1,Baculoviridae,Baculoviridae,Baculoviridae,185,0.018000539043169183,980.0,520.18,338.28,2507,0.013,lef-8,Other-Functions,Bombyx mori,dsDNA,Alphabaculovirus
370,YP_009252248.1,Herpesviridae,Herpesviridae,Orthoherpesviridae,184,0.017903238832125027,3176.0,2273.77,1062.33,18537,0.097,ORF22,Structural-Envelope,Homo sapiens,dsDNA,Varicellovirus
371,ADZ29764.1,Poxviridae,Poxviridae,Poxviridae,184,0.017903238832125027,642.0,458.09,206.69,2054,0.011,ankyrin-like protein,Other-Functions,Homo sapiens,dsDNA,Orthopoxvirus
372,AGE53312.1,Phycodnaviridae,Phycodnaviridae,Phycodnaviridae,184,0.017903238832125027,450.0,340.39,70.04,611,0.003,hypothetical protein,Hypothetical,Chlorella heliozoae,dsDNA,Chlorovirus
373,QTE76099.1,Reoviridae,Reoviridae,Sedoreoviridae,184,0.017903238832125027,401.0,367.53,60.69,794,0.004,inner capsid protein VP6,Structural-Envelope,Sus scrofa,dsRNA,Rotavirus
